0.656795,-0.00174089,0.810088,-2.51242,-1.1604,-1.47516,0.73
0.659528,0.00666857,0.805064,-2.50787,-1.17597,-1.46957,0.74
0.662103,0.0150927,0.799995,-2.50377,-1.19152,-1.46353,0.75
0.664519,0.0235283,0.79488,-2.50016,-1.20705,-1.45698,0.76
0.666777,0.0319722,0.789721,-2.49712,-1.22257,-1.44986,0.77
0.668877,0.0404214,0.784518,-2.49473,-1.23807,-1.44208,0.78
0.670819,0.0488725,0.779272,-2.49308,-1.25355,-1.43355,0.79
0.672604,0.0573227,0.773984,-2.49228,-1.26901,-1.42417,0.8
0.674231,0.0657686,0.768654,-2.49247,-1.28443,-1.41378,0.81
0.675702,0.0742073,0.763285,-2.49382,-1.29983,-1.40223,0.82
0.677016,0.0826355,0.757875,-2.49653,-1.31518,-1.38931,0.83
0.678174,0.0910503,0.752427,-2.50086,-1.33049,-1.37476,0.84
0.679177,0.0994486,0.746942,-2.50713,-1.34574,-1.35825,0.85
0.680025,0.107827,0.741419,-2.51577,-1.36092,-1.33938,0.86
0.68072,0.116183,0.73586,-2.5273,-1.37601,-1.3176,0.87
0.681261,0.124514,0.730265,-2.54244,-1.39101,-1.29221,0.88
0.68165,0.132816,0.724637,-2.56213,-1.40586,-1.26226,0.89
0.681888,0.141086,0.718975,-2.58766,-1.42054,-1.22646,0.9
0.681975,0.149322,0.71328,-2.62082,-1.43499,-1.18302,0.91
0.681913,0.157521,0.707554,-2.66414,-1.44913,-1.12942,0.92
0.681703,0.165679,0.701797,-2.72122,-1.46283,-1.06204,0.93
0.681345,0.173795,0.696009,-2.79728,-1.47591,-0.97567,0.94
0.680842,0.181864,0.690193,-2.89969,-1.48806,-0.86295,0.95
0.680194,0.189885,0.684349,-3.03812,-1.49882,-0.714199,0.96
0.679403,0.197854,0.678478,3.0606,-1.50747,-0.519409,0.97
0.67847,0.205769,0.67258,2.82726,-1.51307,-0.275727,0.98
0.677396,0.213627,0.666658,2.56188,-1.51468,-4.94902e-16,0.99
0.676186,0.221405,0.660726,2.30231,-1.512,0.2699,1
0.674846,0.229082,0.654803,2.08221,-1.5056,0.500293,1.01
0.673379,0.236656,0.648889,1.91166,-1.49647,0.681084,1.02
