0.1,-0.4045,1.00963,-3.14159,1.22465e-16,-1.5708,0
-0.144065,-0.34157,0.988814,2.69784,-0.00434007,-1.60193,0.01
-0.00242232,-0.38778,1.00529,3.12717,0.427865,-1.49593,0.02
-0.16536,-0.29695,1.05335,-2.94299,0.62189,-1.07015,0.03
-0.104817,-0.249533,1.10507,-2.99564,0.263298,-0.971213,0.04
-0.0288276,-0.231428,1.11047,-3.06353,-0.0846114,-0.930769,0.05
0.0101287,-0.233379,1.0949,-3.09038,-0.258287,-0.927163,0.06
-0.169458,0.214017,1.05817,-3.05342,0.104922,-0.210462,0.07
-0.268156,0.41793,0.91881,-2.96207,0.0258378,-0.0608348,0.08
-0.209505,0.58217,0.770092,-3.02549,-0.20222,0.303874,0.09
-0.117841,0.683797,0.578288,3.01171,-0.400451,0.6816,0.1
-0.00750593,0.699312,0.372622,2.60907,-0.478123,1.08087,0.11
0.0994038,0.624818,0.188895,2.15649,-0.393523,1.4083,0.12
0.179692,0.478686,0.0590719,1.74382,-0.195616,1.56446,0.13
0.25,0.474,0.11,1.5708,1.66116e-16,1.5708,0.14
0.25,0.474,0.11,1.5708,1.66116e-16,1.5708,0.16
0.194143,0.601009,0.374776,1.92325,-0.759749,1.38336,0.17
0.139874,0.526235,0.712706,-3.00543,-1.17722,0.048581,0.18
0.13865,0.242058,0.96566,-2.08723,-0.630494,-0.99914,0.19
0.175538,0.00524622,1.03754,-2.31003,-0.778058,-0.821573,0.2
0.0102871,0.122918,1.05667,-2.29169,-0.529784,-0.557165,0.21
0.18565,-0.167634,1.04441,-2.19637,-0.182976,-1.27655,0.22
0.190387,-0.183735,1.03962,-2.20139,-0.159132,-1.30835,0.23
0.312385,-0.358388,0.911529,-1.91916,0.174462,-1.8118,0.24
0.374487,-0.561538,0.686079,-2.26299,0.589764,-2.44613,0.25
0.383216,-0.626017,0.424868,-2.82716,0.636475,2.95063,0.26
0.34488,-0.579234,0.21835,3.137,0.346312,2.19958,0.27
0.285,-0.49,0.11,3.14159,5.47788e-17,1.5708,0.28
0.285,-0.49,0.11,3.14159,5.47788e-17,1.5708,0.3
0.322468,-0.536578,0.23226,3.10958,-0.0515788,2.03876,0.31
0.357243,-0.556375,0.329113,-2.78938,-0.0601088,2.61199,0.32
0.39692,-0.569916,0.489841,-2.60408,-0.223801,-3.07741,0.33
0.214967,-0.705967,0.367421,-2.39345,-0.445492,2.77134,0.34
-0.0851791,-0.540606,0.608711,-3.02083,-0.759341,3.08433,0.35
-0.0314616,-0.530252,0.717082,3.01957,-0.774558,-2.63179,0.36
-0.00689219,-0.452419,0.867999,2.77619,-0.499922,-1.99456,0.37
-0.0801531,-0.346291,0.966344,2.77378,-0.0292044,-1.67078,0.38
0.202216,-0.416954,0.935337,-2.89168,-0.116789,-1.81489,0.39
-0.0158156,-0.375254,1.01454,-3.02002,0.371542,-1.51272,0.4
0.1,-0.4045,1.00963,-3.14159,1.22465e-16,-1.5708,0.41
