307,360,360,360,360,360,360,350,317,304,295,289,281,259,230,202,0,0,0,0,0,
308,360,360,360,360,360,360,348,317,303,294,288,281,258,226,187,0,0,0,0,0,
306,360,360,360,360,360,360,350,318,305,295,289,282,261,233,207,0,0,0,0,0,
301,360,360,360,360,360,360,359,325,307,297,290,286,268,249,219,167,0,0,0,0,
293,360,360,360,360,360,360,360,336,312,300,293,288,281,262,243,220,208,159,146,166,
284,331,360,360,360,360,360,360,349,319,306,298,291,287,281,263,253,238,228,225,228,
274,310,360,360,360,360,360,360,360,338,313,303,297,291,288,285,274,266,261,260,261,
264,293,360,360,360,360,360,360,360,360,334,313,303,298,292,290,287,287,286,285,286,
253,277,312,360,360,360,360,360,360,360,360,336,315,306,300,297,294,291,291,290,290,
242,263,289,334,360,360,360,360,360,360,360,360,343,324,312,308,303,301,300,299,300,
231,250,271,299,360,360,360,360,360,360,360,360,360,359,343,331,318,315,313,312,313,
220,236,255,276,304,360,360,360,360,360,360,360,360,360,360,360,357,349,346,345,346,
208,223,240,257,277,305,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,
197,211,225,240,256,276,300,341,360,360,360,360,360,360,360,360,360,360,360,360,360,
185,198,211,224,238,254,271,291,316,360,360,360,360,360,360,360,360,360,360,360,360,
175,186,197,209,222,235,248,263,278,297,322,360,360,360,360,360,360,360,360,360,360,
163,174,185,195,206,218,229,241,253,266,279,293,310,332,360,360,360,360,360,360,360,
150,161,171,182,192,202,212,222,232,241,252,261,271,280,290,299,307,313,317,318,316,
138,149,158,168,177,187,195,204,213,222,229,237,245,252,257,263,268,270,273,273,273,
125,136,145,154,163,172,180,188,196,203,209,216,223,228,233,238,241,243,244,245,245,
112,121,131,140,149,157,165,172,179,185,192,198,203,207,212,215,218,220,221,221,221,
