342,405,414,420,425,429,432,424,393,381,372,366,357,333,302,271,65,60,54,45,35,
374,434,439,444,448,452,454,444,414,402,393,387,378,354,320,279,88,84,79,74,66,
395,454,460,464,467,471,473,465,435,422,412,406,399,376,346,318,107,104,100,94,89,
409,473,478,482,486,488,491,492,459,442,432,425,420,401,380,347,293,122,118,113,108,
418,490,495,499,503,506,508,510,488,465,453,446,440,431,410,389,363,347,294,276,291,
426,477,512,516,520,523,525,527,517,489,477,468,459,454,446,426,413,394,380,371,370,
432,473,528,533,537,540,543,545,547,526,502,491,484,476,471,465,451,439,429,423,419,
438,473,545,550,554,558,561,564,565,566,541,519,508,502,493,488,481,477,471,465,460,
443,473,515,568,574,577,582,585,587,588,589,564,542,531,522,514,508,499,494,486,480,
449,477,511,562,594,600,605,608,610,612,613,612,593,572,557,548,537,529,522,513,507,
458,485,514,550,619,626,632,637,641,643,645,643,641,636,615,597,577,566,556,547,540,
468,494,524,556,595,663,674,686,698,711,720,711,698,686,674,663,648,629,615,603,594,
481,511,545,585,637,665,720,720,720,720,720,720,720,720,720,720,720,688,665,648,633,
506,559,585,600,616,636,660,701,720,720,720,720,720,720,720,720,720,720,720,708,669,
545,558,571,584,598,614,631,651,676,720,720,720,720,720,720,720,720,720,720,720,720,
535,546,557,569,582,595,608,623,638,657,682,720,720,720,720,720,720,720,720,720,720,
523,534,545,555,566,578,589,601,613,626,639,653,670,692,720,720,720,720,720,720,720,
510,521,531,542,552,562,562,565,571,576,587,596,610,623,640,659,667,673,677,678,676,
498,509,518,528,521,522,512,516,522,528,536,543,554,564,574,598,612,630,633,633,633,
485,496,496,490,478,480,482,487,492,498,504,511,519,527,535,546,556,579,595,605,605,
472,469,459,450,452,454,458,462,468,472,479,485,492,497,505,512,521,530,550,569,581,
